,modified_label,likeNum,commentNum,contentsNum,totalVisits,totalNeighbor,img_count,hashtag_counts,text_sentence_counts,title_length,title_word_counts,text_length,text_word_counts,average_visits
0,0,21,3,1540,1266977,3680,14,9,45,40,9,3356,787,822.7123376623376
1,0,20,9,845,1415301,3199,18,8,127,28,6,1987,448,1674.912426035503
2,0,12,4,972,765463,2325,16,16,75,32,7,956,202,787.5133744855967
3,0,31,2,1250,1212441,3767,15,8,40,19,4,1020,246,969.9528
4,0,6,4,77,82712,159,14,12,74,44,9,1458,297,1074.1818181818182
5,0,90,84,490,1246742,1972,20,5,144,32,8,2749,615,2544.3714285714286
6,0,50,11,1416,5413958,6935,26,17,143,24,7,2925,717,3823.4166666666665
7,1,32,18,782,969068,889,30,15,161,33,5,2816,570,1239.2173913043478
8,0,77,46,5944,23715254,11996,35,7,197,31,7,2587,590,3989.7802826379543
9,0,39,71,2160,2442822,1931,40,11,98,28,7,2961,644,1130.9361111111111
10,0,66,18,870,6424121,6384,22,4,93,34,9,1918,412,7384.047126436782
11,0,7,3,2085,1574047,1246,27,30,112,38,8,2548,598,754.9386091127099
12,0,14,4,1068,3295645,2234,27,10,121,21,6,2321,512,3085.809925093633
13,0,14,1,132,127804,571,12,9,86,30,8,1407,329,968.2121212121212
14,0,17,8,1456,3737910,1709,20,7,52,33,5,1131,236,2567.245879120879
15,0,243,251,241,1025533,5439,19,10,140,41,10,3089,702,4255.323651452282
16,0,73,41,241,1133642,3991,20,10,78,35,9,2162,459,4703.908713692946
17,0,22,3,1415,5413909,6935,31,9,145,20,6,2666,632,3826.0840989399294
18,0,38,17,941,3496666,4460,21,12,78,40,6,1380,293,3715.90435706695
19,0,1,1,15482,7013648,4331,27,21,79,19,5,949,195,453.01950652370493
20,0,12,16,1777,5553368,2259,27,8,79,24,5,1563,372,3125.1367473269556
21,0,36,11,1036,1396171,3953,11,10,41,27,6,906,196,1347.6554054054054
22,0,57,60,321,442868,2551,5,21,22,21,3,1011,207,1379.651090342679
23,0,12,8,795,1306901,1384,24,11,20,25,6,531,127,1643.9006289308177
24,0,36,11,585,969793,2503,14,3,65,25,5,1081,259,1657.765811965812
25,0,7,3,305,866025,450,16,8,71,29,6,1124,239,2839.4262295081967
26,0,23,16,549,1152593,1346,13,5,85,37,9,1515,377,2099.440801457195
27,0,12,10,1492,1039694,1396,14,9,51,36,5,652,144,696.8458445040214
28,0,74,83,495,1365138,3763,22,12,74,48,9,2158,434,2757.8545454545456
29,0,10,4,840,1721783,1656,18,14,89,53,11,1299,280,2049.741666666667
30,0,10,4,1760,2827049,1211,30,10,58,33,7,2096,496,1606.2778409090909
31,1,6,3,892,1186932,948,34,6,118,31,8,2148,505,1330.6412556053813
32,0,22,4,892,1778542,1801,19,6,97,27,5,1560,340,1993.8811659192825
33,0,9,2,167,670030,394,20,7,51,27,7,773,171,4012.1556886227545
34,1,11,1,2190,5772732,3188,22,8,45,30,9,1350,310,2635.9506849315067
35,0,9,2,782,2781618,1222,15,9,126,35,9,2111,473,3557.0562659846546
36,0,20,16,54,98113,256,20,7,59,21,5,994,256,1816.9074074074072
37,0,6,4,452,941562,454,24,8,48,18,6,1000,238,2083.101769911505
38,0,59,81,597,943921,2730,18,30,133,45,12,2913,500,1581.107202680067
39,0,12,16,161,560172,3080,17,7,47,16,1,939,205,3479.3291925465837
40,0,9,3,2600,3181091,1943,29,9,49,26,7,1357,297,1223.4965384615384
41,0,36,27,386,1681510,2290,32,8,107,29,8,2136,513,4356.243523316062
42,0,25,8,2240,8798098,7424,18,8,32,24,6,1616,322,3927.7223214285714
43,0,221,63,594,1804028,11975,21,5,46,27,7,1184,259,3037.084175084175
44,0,10,8,606,2165676,3697,33,4,65,33,8,1871,440,3573.7227722772277
45,0,16,1,470,1429799,1292,16,14,59,34,10,1095,265,3042.1255319148936
46,0,19,8,2589,12839939,741,36,13,102,31,8,2117,503,4959.420239474701
47,0,23,7,477,1598383,3850,30,18,40,19,5,2096,472,3350.907756813417
48,0,10,9,325,502556,435,18,21,27,40,5,2224,535,1546.3261538461538
49,0,16,2,1269,2651103,3461,37,7,108,31,7,2141,547,2089.127659574468
50,0,26,10,1971,10414237,9969,22,8,113,23,6,2754,651,5283.732623033993
51,0,18,19,4225,1818310,865,52,4,152,21,5,2753,637,430.3692307692308
52,0,8,5,1211,882454,2349,10,10,76,26,7,1340,328,728.6985962014863
53,0,10,2,1484,2944972,889,12,6,46,26,7,776,184,1984.482479784367
54,0,10,1,582,694488,437,19,4,70,32,8,1243,296,1193.278350515464
55,0,8,6,1428,233135,417,8,14,75,24,4,1280,259,163.25980392156862
56,0,7,0,871,534107,1074,8,6,44,26,7,734,169,613.211251435132
57,0,13,4,425,406593,370,39,9,50,37,11,1767,432,956.689411764706
58,0,33,6,2419,5810089,8507,11,6,28,30,7,1149,245,2401.8557255064075
59,0,12,4,885,1564595,1013,20,4,38,31,8,683,160,1767.90395480226
60,0,55,41,1005,1679862,5089,15,27,123,29,6,1522,302,1671.5044776119405
61,0,24,23,2780,2121707,6089,29,9,51,33,9,1683,374,763.2039568345324
62,0,17,3,437,553716,1590,25,5,117,24,6,1922,477,1267.0846681922196
63,0,36,22,1114,1481455,1828,33,7,130,45,11,2718,627,1329.8518850987432
64,0,12,11,639,1800196,1539,38,16,132,36,8,1987,440,2817.20813771518
65,0,8,7,490,1255210,1035,31,9,117,27,5,2068,439,2561.6530612244896
66,0,17,19,1500,4637052,4931,19,6,32,30,8,2439,578,3091.368
67,0,28,15,1926,9363599,6749,34,7,105,35,9,2322,590,4861.681723779855
68,0,14,14,710,952258,962,23,7,46,22,5,3173,760,1341.2084507042252
69,0,31,5,3874,5866309,13537,35,17,154,40,7,1816,398,1514.276974703149
70,0,16,26,587,2889441,5761,20,4,105,31,8,2537,590,4922.3867120954
71,0,18,4,252,1008826,936,28,17,65,39,9,1126,258,4003.277777777778
72,1,42,18,3010,3423643,5824,25,5,106,42,13,2701,626,1137.4229235880398
73,0,4,2,173,550396,293,6,6,46,28,9,1061,233,3181.4797687861274
74,0,325,17,384,957175,4183,22,10,86,35,11,1437,343,2492.6432291666665
75,0,12,3,1774,7383085,7948,17,6,51,32,7,947,223,4161.829199549042
76,0,20,11,161,866509,1610,53,21,76,32,7,2019,469,5382.04347826087
77,0,29,12,103,299462,403,14,10,88,30,9,2401,539,2907.3980582524273
78,0,27,9,305,581302,1764,17,7,169,40,8,2884,677,1905.9081967213117
79,0,40,5,2034,3157065,5891,22,10,56,34,6,2503,548,1552.146017699115
80,0,22,15,1057,4237942,1053,34,6,163,32,9,2696,599,4009.405865657521
81,0,18,4,162,501296,560,22,24,120,49,10,2333,543,3094.41975308642
82,0,11,5,667,1514353,1252,11,6,53,31,7,1056,251,2270.3943028485755
83,0,90,43,1713,692092,2728,51,9,197,19,4,3050,699,404.0233508464682
84,0,20,13,892,799862,2328,20,6,39,28,8,1692,410,896.7062780269058
85,0,73,14,959,9232799,7151,33,2,142,28,7,2183,519,9627.52763295099
86,0,26,11,798,962367,1695,14,6,53,26,7,1184,276,1205.9736842105262
87,0,2,2,632,910267,1369,13,13,38,21,1,503,104,1440.2958860759493
88,0,7,2,175,390506,453,16,8,94,26,6,1508,317,2231.462857142857
89,0,9,3,1100,1524620,3255,32,7,121,39,9,2083,467,1386.0181818181818
90,0,33,9,3063,5409226,2802,21,5,69,21,4,1510,339,1765.9895527260855
91,0,14,14,1314,8865858,3964,15,5,138,26,6,2934,697,6747.228310502283
92,0,10,0,1241,2152001,1593,28,1,24,28,6,1196,275,1734.0862207896855
93,0,25,1,931,3004360,2842,14,6,19,45,13,1092,276,3227.0247046186896
94,0,11,3,1007,2967011,2770,13,4,46,28,4,1063,242,2946.3862959285007
95,0,15,5,1141,9094367,5218,32,5,156,37,11,2949,703,7970.523225241017
96,0,10,3,4023,3193302,1670,12,10,41,39,9,579,136,793.7613721103654
97,0,7,1,403,337135,870,23,4,91,20,1,2141,471,836.5632754342432
98,0,22,14,785,4768036,3161,24,3,78,27,7,3189,769,6073.931210191083
99,0,17,5,1013,1702620,461,40,4,155,29,7,3161,725,1680.7699901283318
100,0,12,1,41,24719,47,21,18,38,12,3,860,195,602.9024390243902
101,0,35,9,967,3596594,3725,20,27,82,35,8,1796,420,3719.331954498449
102,0,33,22,1050,2378177,2761,23,10,94,31,5,2003,466,2264.9304761904764
103,0,48,12,325,2142335,3348,28,10,117,30,7,2554,612,6591.8
104,0,85,12,3175,32182842,21727,33,4,164,17,4,2850,669,10136.328188976378
105,0,5,3,175,390506,453,12,9,72,24,4,1273,237,2231.462857142857
106,0,15,6,420,432882,830,20,20,92,18,1,1019,200,1030.6714285714286
107,0,8,5,352,262841,392,16,5,67,22,6,900,214,746.7073863636364
108,0,30,11,838,2191195,3350,30,12,131,38,10,2209,519,2614.791169451074
109,0,27,5,1707,3476555,8165,20,5,59,35,10,1141,282,2036.6461628588163
110,0,4,2,257,550925,78,19,10,108,25,6,2166,510,2143.6770428015566
111,0,32,31,887,1564602,1013,11,5,52,29,7,835,180,1763.925591882751
112,0,30,14,755,602204,1729,6,5,42,17,4,805,186,797.6211920529802
113,0,9,4,411,1806120,866,26,6,76,19,5,1434,330,4394.4525547445255
114,0,7,5,657,919846,3198,5,9,34,29,1,595,108,1400.0700152207
115,0,11,5,692,1394863,2179,10,4,37,22,4,729,154,2015.6979768786127
116,0,10,12,98,199231,317,15,23,127,31,7,1863,365,2032.969387755102
117,0,27,35,132,468925,568,15,10,62,20,5,998,222,3552.462121212121
118,0,4,2,1054,709728,1517,21,13,42,25,5,1084,223,673.3662239089184
119,0,36,11,581,1811888,3491,21,18,91,47,6,2074,473,3118.567986230637
120,0,70,30,741,1466940,3749,15,18,44,34,7,1903,468,1979.676113360324
121,0,21,14,857,3270725,5327,16,7,121,46,12,2599,623,3816.481913652275
122,0,10,2,41,530015,711,23,11,98,29,5,1761,405,12927.19512195122
123,0,16,9,2638,3604016,4094,13,12,95,18,5,1873,439,1366.1925701288856
124,0,11,14,1696,3987861,1995,21,4,67,35,10,1183,266,2351.333136792453
125,0,49,12,2702,6706309,7639,17,24,75,42,8,1873,405,2481.979644707624
126,0,43,35,1071,1517659,5461,16,9,53,36,9,1363,283,1417.0485527544351
127,0,6,6,266,298518,475,17,10,88,33,8,1590,339,1122.248120300752
128,0,40,4,2914,4523623,8625,19,9,63,27,7,1446,315,1552.375772134523
129,0,27,19,1151,2738849,3732,23,4,51,25,6,1963,422,2379.5386620330146
130,0,13,5,1317,8263933,3780,23,8,91,27,8,1647,390,6274.816249050873
131,0,124,20,928,7627284,26542,52,16,113,41,11,4132,994,8219.056034482759
132,0,8,6,46,105847,75,13,13,32,37,12,611,143,2301.021739130435
133,0,30,23,269,363262,1157,10,12,116,27,8,1888,460,1350.416356877323
134,0,15,16,163,785292,404,17,11,121,24,6,2388,541,4817.742331288344
135,0,7,2,123,801466,531,22,13,51,40,12,885,211,6515.983739837398
136,0,2,1,460,458709,150,12,4,41,37,9,1071,231,997.1934782608696
137,0,12,15,527,2212067,1490,20,13,40,29,7,2204,524,4197.470588235294
138,0,13,4,4844,13036244,4092,16,9,102,30,9,2652,642,2691.2146985962013
139,0,16,19,120,448922,468,14,7,52,31,5,989,216,3741.016666666667
140,0,11,6,1554,3579020,575,16,15,55,40,11,1475,323,2303.101673101673
141,0,10,12,431,1026277,222,14,6,33,18,4,762,165,2381.1531322505803
142,0,3,1,653,956736,498,22,7,41,34,9,432,100,1465.1393568147014
143,0,7,4,792,735103,439,11,8,31,25,4,825,195,928.1603535353536
144,0,4,3,879,1744397,630,13,9,41,25,7,1232,290,1984.5244596131968
145,0,5,4,205,91892,284,31,20,78,51,16,1349,301,448.25365853658536
146,0,31,14,1439,11548132,2722,17,4,71,22,6,1237,280,8025.109103544128
147,0,40,35,1079,1331619,2443,23,4,65,30,4,1012,199,1234.1232622798889
148,0,30,26,1067,1379926,946,23,8,78,44,11,2366,591,1293.2764761012183
149,0,13,6,1337,1864299,711,7,8,39,34,7,948,234,1394.3896783844427
150,0,51,29,1603,13085983,12421,23,9,98,17,4,2512,551,8163.432938240799
151,0,4,1,235,975239,942,9,16,33,22,4,604,135,4149.953191489361
152,0,5,3,1151,1046831,623,7,12,28,23,5,725,150,909.4969591659428
153,0,9,1,3361,6931865,3354,22,2,46,30,8,2363,520,2062.441237726867
154,0,8,6,1587,3238133,1729,19,11,35,37,7,1276,284,2040.411468178954
155,0,7,3,3620,1573129,478,6,13,64,35,7,986,207,434.56602209944754
156,0,21,6,520,2036395,1287,53,19,113,45,6,2874,651,3916.144230769231
157,0,9,6,3116,4557525,4269,19,4,40,21,5,878,179,1462.6203465982028
158,0,11,4,197,297674,1009,15,10,54,34,9,1619,372,1511.035532994924
159,0,59,17,1235,3036554,5738,21,7,86,24,6,1438,372,2458.748178137652
160,0,15,6,437,1735202,1335,24,20,94,40,9,2334,527,3970.713958810069
161,0,31,27,729,967235,1216,10,10,61,29,8,839,197,1326.7969821673526
162,0,29,15,1641,3338073,3960,11,20,79,34,8,1475,315,2034.1700182815357
163,0,24,11,1906,6277486,5204,30,11,155,32,8,2946,667,3293.539349422875
164,0,99,43,1624,1264518,3652,12,10,25,24,6,1953,458,778.6440886699507
165,0,23,10,304,1226495,1444,30,8,126,33,8,2314,515,4034.5230263157896
166,0,12,8,163,785292,404,24,9,136,37,8,2832,659,4817.742331288344
167,0,75,32,209,1507613,1933,24,5,191,24,6,3370,863,7213.459330143541
168,0,40,24,5948,23715340,11996,16,5,113,29,6,1667,401,3987.111634162744
169,0,31,21,544,613861,1763,14,9,74,24,6,1315,299,1128.420955882353
170,0,0,0,511,440223,520,13,3,39,32,8,1096,261,861.4931506849315
171,0,35,29,697,342395,1044,24,2,64,25,6,2295,505,491.2410329985653
172,0,2,6,23,55795,63,12,15,43,35,8,1917,440,2425.8695652173915
173,0,36,15,636,769586,2585,29,7,63,20,5,1437,331,1210.0408805031448
174,0,35,29,1455,5115435,7109,15,3,30,27,6,1861,423,3515.762886597938
175,0,77,29,176,265213,2562,29,15,131,35,9,2596,599,1506.8920454545455
176,0,24,12,4643,23975826,11757,33,12,147,41,10,3487,852,5163.86517337928
177,0,7,14,136,816646,343,32,9,50,26,4,2288,516,6004.75
178,0,107,32,3599,1364900,3388,11,7,116,25,4,1622,362,379.244234509586
179,0,30,30,328,7195771,2118,20,9,76,19,5,2093,471,21938.326219512193
180,0,11,4,203,406658,518,7,7,19,31,8,979,228,2003.2413793103449
181,0,24,57,623,1950238,2047,24,12,95,36,6,1302,273,3130.398073836276
182,0,10,3,263,720492,350,25,13,93,31,6,1712,364,2739.513307984791
183,0,3,0,2470,3334404,1410,27,8,50,30,7,735,152,1349.961133603239
184,0,7,6,263,693726,115,31,7,75,27,6,1041,221,2637.74144486692
185,0,25,6,1271,7162109,4939,27,9,103,29,6,1458,319,5635.018882769473
186,0,10,0,331,825248,1677,13,4,30,34,7,889,192,2493.1963746223564
187,0,27,10,767,1894904,3664,25,11,57,34,7,2529,566,2470.5397653194264
188,0,130,16,746,2456473,6521,31,5,50,35,8,2550,593,3292.8592493297588
189,0,10,7,1090,3022068,3471,21,6,81,35,8,1353,295,2772.5394495412843
190,0,6,5,260,329754,341,12,8,33,11,2,518,106,1268.284615384615
191,0,76,15,3726,16205934,15933,28,5,87,23,6,1770,415,4349.418679549114
192,0,14,1,781,1880097,916,29,11,69,28,5,1537,344,2407.2944942381564
193,0,9,9,1163,1257892,680,13,12,54,37,10,1282,277,1081.5924333619948
194,0,11,5,1514,2951618,1402,8,25,60,30,6,943,221,1949.5495376486128
195,0,36,10,1367,5780097,3825,26,23,96,39,11,2302,579,4228.30797366496
196,0,19,4,576,1211169,1422,20,12,60,24,8,954,225,2102.7239583333335
197,0,15,9,1055,6380393,3531,18,8,53,21,6,1791,433,6047.765876777251
198,0,20,23,695,1136721,1737,20,8,64,31,7,1171,286,1635.569784172662
199,0,41,6,782,1130793,3252,12,8,31,27,8,1970,482,1446.0268542199487
200,0,3,5,250,1120440,579,25,9,68,29,6,1589,368,4481.76
201,0,12,10,27,201831,1129,14,12,42,25,5,1262,278,7475.222222222223
202,0,38,1,4275,12070545,15264,16,10,44,26,6,739,164,2823.519298245614
203,0,9,8,1192,2268619,1534,42,10,86,14,1,1370,288,1903.2038590604027
204,0,23,13,2932,11945705,10369,32,9,61,20,5,2641,582,4074.25136425648
205,0,117,32,1263,1323049,4156,23,4,40,26,7,2450,584,1047.5447347585114
206,0,3,3,1094,1042916,425,51,1,81,9,2,2121,486,953.3053016453382
207,0,8,3,608,1400024,346,25,11,122,48,13,2196,500,2302.6710526315787
208,0,14,3,2017,4761542,3716,27,9,66,23,4,1216,255,2360.705007436787
209,0,0,18,91,111799,89,5,5,28,16,3,820,179,1228.5604395604396
210,0,2,4,6804,6728518,3749,19,11,41,33,10,971,229,988.9062316284538
211,0,42,29,704,4001139,4207,18,7,72,33,10,1191,292,5683.436079545455
212,0,82,81,1295,10024220,2660,20,7,111,18,5,1932,517,7740.710424710424
213,0,3,3,141,315417,283,18,10,49,18,3,1245,303,2237.0
214,0,9,5,474,723038,467,20,19,131,21,3,2306,532,1525.396624472574
215,0,4,0,227,317883,685,20,2,104,36,8,2693,632,1400.36563876652
216,0,183,67,1152,5829713,6052,19,5,99,26,7,2199,516,5060.514756944444
217,0,13,6,168,481927,688,15,23,74,33,7,1587,329,2868.6130952380954
218,0,1,0,254,504475,1062,20,9,142,28,8,3087,723,1986.1220472440943
219,0,15,15,606,1319933,498,15,6,46,25,6,800,161,2178.1072607260726
220,0,12,9,1349,6611365,2621,18,7,103,32,7,1765,441,4900.937731653076
221,0,57,18,2536,4845558,6756,16,4,48,31,8,1434,347,1910.7089905362775
222,0,16,0,982,805882,467,5,14,26,29,6,647,146,820.653767820774
223,1,3,1,643,216211,687,27,2,72,37,9,2266,501,336.253499222395
224,0,13,4,1182,703562,1974,42,3,138,27,7,2431,540,595.2301184433164
225,0,84,108,495,1365132,3763,41,15,85,36,9,2500,516,2757.8424242424244
226,0,147,96,456,1408001,4631,28,8,125,31,8,2490,580,3087.72149122807
227,0,7,8,943,4015364,1781,12,8,29,33,8,1710,420,4258.074231177095
228,0,5,1,1554,3579023,575,18,26,50,44,9,1202,241,2303.1036036036035
229,0,5,2,409,287675,451,19,7,29,28,5,668,137,703.3618581907091
230,0,11,6,2175,13809215,7208,21,2,98,24,5,1518,368,6349.064367816092
231,0,12,5,111,283619,376,16,7,62,25,6,1140,273,2555.126126126126
232,0,11,8,468,1094450,550,38,5,141,27,6,2701,632,2338.568376068376
233,0,8,3,115,1151631,732,24,14,62,30,8,1271,277,10014.182608695652
234,0,26,7,2055,5734665,5351,23,9,97,30,8,2147,520,2790.5912408759123
235,0,33,22,755,602199,1729,8,6,61,14,3,1156,270,797.6145695364238
236,0,21,12,1277,933554,985,10,5,89,28,8,2069,484,731.0524667188723
237,0,22,6,601,361321,754,15,10,14,22,4,616,137,601.1996672212979
238,0,14,3,755,944663,844,23,4,120,30,8,2198,530,1251.2092715231788
239,0,7,5,37,188149,59,12,3,70,22,6,1598,396,5085.108108108108
240,0,12,10,575,218522,284,15,10,59,11,4,1612,381,380.0382608695652
241,0,25,7,1260,5253635,4558,32,11,111,33,8,2211,503,4169.5515873015875
242,0,5,6,533,1619592,672,20,17,46,29,6,1249,293,3038.6341463414633
243,0,16,11,420,156714,447,32,4,126,23,5,2380,502,373.12857142857143
244,0,25,10,1476,3670136,2911,21,7,87,30,7,1785,403,2486.542005420054
245,0,6,2,352,262844,392,11,3,49,32,9,701,168,746.7159090909091
246,0,5,3,18,75529,2719,12,8,43,28,6,659,143,4196.055555555556
247,0,35,6,1076,2728009,5827,28,18,102,24,7,1491,355,2535.324349442379
248,0,30,6,815,90375,1419,13,4,47,16,5,995,233,110.88957055214723
249,0,6,3,2085,1574047,1246,12,29,54,34,9,943,231,754.9386091127099
250,0,10,6,1491,1039688,1396,28,12,79,45,6,1069,229,697.309188464118
251,0,21,14,1048,1104480,4440,17,15,66,32,7,1913,457,1053.8931297709923
252,0,3,1,593,584821,1266,34,9,82,18,4,1346,300,986.2074198988196
253,0,98,62,1213,2944846,6670,39,15,166,46,13,2541,659,2427.737840065952
254,0,25,7,684,580753,1708,26,3,53,32,6,881,204,849.0540935672515
255,0,9,0,5587,12130088,2405,25,9,112,41,13,2050,504,2171.127259710041
256,0,15,2,1014,1702658,461,24,3,92,26,7,1847,440,1679.1499013806706
257,0,16,1,402,337126,870,11,2,53,27,3,1571,337,838.6218905472637
258,0,19,4,1271,2146632,4392,18,7,72,38,9,1341,315,1688.931549960661
259,0,25,14,411,478389,281,13,15,119,25,7,1857,432,1163.963503649635
260,0,48,30,2930,19236565,15380,18,7,71,33,9,1975,462,6565.3805460750855
261,0,19,22,1295,10024219,2660,18,6,70,24,7,1141,297,7740.709652509652
262,0,17,2,705,633142,1054,10,10,60,34,7,1857,370,898.0737588652482
263,0,7,1,386,885830,574,13,11,69,29,7,1231,262,2294.896373056995
264,0,14,1,1628,1076883,4518,13,13,23,33,7,988,193,661.4760442260442
265,0,2,2,1328,2710974,1109,8,7,44,26,7,702,157,2041.3960843373493
266,0,33,9,3201,45951947,16536,13,8,53,24,7,1573,341,14355.49734457982
267,0,20,23,734,1348088,1206,15,11,70,34,8,2210,505,1836.632152588556
268,0,77,24,1228,8134714,9178,48,3,136,26,8,2282,528,6624.35993485342
269,0,6,2,139,418432,209,22,5,85,34,9,1045,230,3010.3021582733813
270,0,7,7,1589,3910083,2239,29,9,90,27,8,1604,352,2460.71932032725
271,0,14,6,377,1429779,329,16,5,98,47,11,1749,395,3792.5172413793102
272,0,43,28,1108,1923529,3127,29,12,47,40,8,1541,348,1736.0370036101085
273,0,20,16,818,3171157,2071,34,6,46,26,7,2207,510,3876.720048899755
274,0,8,3,1357,8974790,3499,9,2,66,32,8,2157,516,6613.699336772292
275,0,14,1,974,2777830,1087,5,5,12,23,4,668,150,2851.981519507187
276,0,3,1,612,128502,1724,28,30,65,12,2,1463,301,209.97058823529412
277,0,48,37,473,2701815,4101,19,13,107,25,4,1958,432,5712.082452431289
278,0,9,4,115,1151632,732,24,13,83,31,8,1595,325,10014.191304347823
279,0,1,1,511,440219,520,18,4,46,26,5,849,197,861.4853228962818
280,1,22,22,1245,1214592,1485,35,9,77,26,5,2484,550,975.5759036144578
281,0,6,0,402,337135,870,14,4,58,20,1,1195,245,838.6442786069651
282,0,24,11,530,2887632,1337,31,8,99,17,4,1956,407,5448.362264150944
283,0,20,14,540,1943946,2212,67,11,101,27,7,1480,340,3599.9
284,0,5,2,184,101080,61,12,10,47,37,8,966,228,549.3478260869565
285,0,6,1,41,530015,711,21,8,73,44,11,1353,306,12927.19512195122
286,0,5,1,2189,4834168,1166,8,6,53,33,8,812,177,2208.39104613979
287,0,15,4,1188,4694048,4791,22,7,79,21,6,2846,650,3951.2188552188554
288,0,22,10,341,1108601,1875,19,5,99,37,10,1948,434,3251.0293255131965
289,0,14,5,837,1172366,2125,46,9,43,23,5,2984,668,1400.6762246117084
290,0,37,13,1790,9416429,6045,21,4,131,27,5,2587,588,5260.574860335196
291,0,37,16,1029,2590370,3672,26,7,100,46,8,1612,379,2517.366375121477
292,0,17,1,782,1130773,3252,7,9,19,26,7,642,153,1446.0012787723786
293,0,13,7,2589,12839933,741,18,14,70,31,8,1369,326,4959.417921977598
294,0,36,25,1119,2562229,2408,16,6,108,22,6,2312,536,2289.7488829311887
295,0,28,13,592,1220742,3899,15,11,82,29,8,1774,428,2062.064189189189
296,0,37,16,2212,6500684,3520,30,8,74,26,6,2084,467,2938.8264014466545
297,0,4,4,1096,4313306,1683,9,11,44,37,7,1618,372,3935.4981751824816
298,0,35,28,1080,1331619,2443,39,6,73,30,4,1391,269,1232.9805555555556
299,0,12,2,592,584827,1266,33,9,76,18,4,1336,304,987.883445945946
300,0,11,0,379,1183285,2047,15,8,57,31,7,1618,382,3122.1240105540896
301,1,32,17,180,431607,1217,11,9,73,38,9,1288,291,2397.8166666666666
302,0,6,5,403,510013,351,15,30,49,32,9,1675,405,1265.5409429280396
303,0,25,22,455,1407914,4631,43,17,167,29,7,2736,653,3094.3164835164835
304,0,30,17,306,738909,507,11,23,106,46,9,1832,473,2414.735294117647
305,0,55,34,19,13725,1003,21,3,113,25,7,2197,524,722.3684210526316
306,0,23,5,1119,2562227,2408,10,7,82,28,6,1698,390,2289.7470956210905
307,0,3,1,487,1207306,878,20,6,143,27,7,2828,642,2479.0677618069817
308,0,20,5,2690,4168271,6165,38,11,79,26,6,1733,416,1549.54312267658
309,0,25,4,2242,8798125,7424,25,8,37,21,5,1709,362,3924.2305976806424
310,0,34,26,1926,9363592,6749,31,4,85,27,6,1752,431,4861.678089304258
311,1,1,0,1289,327621,48,11,10,38,27,7,1068,224,254.16679596586505
312,0,14,6,671,2854541,3006,22,19,32,25,5,1532,307,4254.159463487333
313,0,36,13,1010,4053773,5214,20,5,25,23,7,1780,428,4013.6366336633664
314,0,42,22,1039,5323104,8549,25,5,41,33,8,2256,563,5123.295476419634
315,0,12,8,181,263000,882,20,8,79,35,4,1848,382,1453.0386740331492
